row,column,valid,R,SNR,PI,SQI,SpO2_ref,SpO2_C,HR_bpm
13,S32,True,0.487072617,12.6703281,0.0628677234,134,87,86,54
14,S0,True,0.22569707,12.3464699,0.00329298899,128,94,97,72
14,S1,True,0.278655797,11.4247847,0.00303881569,109,95,94,90
14,S2,True,0.288265616,9.94202709,0.00254898379,81,94,94,102
14,S3,True,0.23073715,10.4732914,0.00286287186,86,93,96,96
14,S4,True,0.264742255,11.6915646,0.00434617372,168,93,95,84
14,S5,True,0.316581696,9.57458115,0.00266918982,86,94,93,96
14,S6,True,0.244485572,9.79056168,0.00332774501,96,92,96,90
14,S7,True,0.264311939,10.1480293,0.00365699315,122,90,95,72
14,S8,True,0.300275922,11.2194967,0.00455974834,167,90,93,90
14,S9,True,0.30689624,10.8955135,0.00515478291,188,91,93,66
14,S10,True,0.300260693,9.74171829,0.00341185485,106,90,93,96
14,S11,True,0.293813258,10.192584,0.00730420928,179,91,94,60
14,S12,False,0.335785896,8.53953171,0.004245413,127,91,92,66
14,S13,True,0.340892881,9.28698349,0.00286041619,87,91,92,96
14,S14,True,0.31505233,9.87196255,0.00441144826,142,90,93,102
14,S15,False,0.642688572,7.57310677,0.00422381191,113,88,82,42
14,S16,False,0.327751994,7.34279728,0.00221414748,62,88,92,84
14,S17,False,0.394267082,8.09318638,0.00462140981,129,85,90,108
14,S18,True,0.395959795,9.92650795,0.00705818878,175,86,90,60
14,S19,False,0.401512951,7.26715088,0.00344024203,74,85,89,108
14,S20,False,0.308247626,8.91952229,0.00348553411,97,86,93,102
14,S21,False,0.405147582,7.40948772,0.00880105328,145,84,89,60
14,S22,False,0.434129208,8.77079773,0.00354655017,100,80,88,90
14,S23,True,0.366523057,10.4137564,0.00463370793,156,81,91,102
14,S24,False,0.415216327,7.55481815,0.00479136314,133,84,89,66
14,S25,False,0.422145635,7.83958244,0.0026153191,66,85,89,108
14,S26,False,59.0416832,8.6801672,0.00475907419,151,80,100,90
14,S27,True,0.484560102,10.3450861,0.00387356314,126,79,86,102
15,S0,True,0.282320231,9.06538773,0.00529178698,168,96,94,72
15,S1,True,0.213715672,11.8841953,0.00446360558,166,97,97,96
15,S2,True,0.29543215,10.3419552,0.00424049702,143,96,94,96
15,S3,True,0.231840611,10.4210176,0.00665019173,176,96,96,90
15,S4,True,0.234689549,11.2659693,0.00532137323,182,96,96,96
15,S5,True,0.243639082,11.6515722,0.00527404062,180,95,96,96
15,S6,False,0.269751996,8.42622375,0.00433387468,126,96,95,84
15,S7,True,0.215247989,9.49303722,0.00556381,168,93,97,84
15,S8,True,0.288997471,9.6887598,0.00690198131,161,94,94,84
15,S9,True,0.27639544,11.8128538,0.00841732044,192,95,94,90
15,S10,True,0.277542323,12.794858,0.00796153862,199,94,94,96
15,S11,True,0.298491895,12.2720299,0.00837473385,189,94,93,96
15,S12,True,0.341919035,10.6411734,0.0132767949,183,92,92,72
15,S13,True,0.343373567,11.7795515,0.0117444554,190,91,92,90
15,S14,True,0.338221848,11.7997971,0.012139136,190,91,92,90
15,S15,True,0.405136138,11.7588797,0.013313693,194,90,89,90
15,S16,True,0.379218549,11.6995802,0.0149771906,194,89,90,90
15,S17,True,0.381432116,10.6955738,0.0142265391,177,88,90,84
15,S18,True,0.412133068,9.73663807,0.0107516628,171,88,89,84
15,S19,True,0.432430774,11.9460926,0.011174256,190,83,88,96
15,S20,True,0.450446039,9.3193264,0.0139931217,168,86,88,78
15,S21,True,0.504853427,9.37367153,0.0120481448,162,84,86,84
15,S22,False,0.483063012,7.97535706,0.0117135365,146,82,87,96
15,S23,True,0.473523021,11.7738552,0.0133919064,187,83,87,90
15,S24,True,0.480549276,11.1282406,0.0145485727,181,81,87,90
15,S25,True,0.567641854,9.5884819,0.0147156157,164,77,84,90
15,S26,False,0.601017177,7.49778032,0.0105560496,142,76,83,102
15,S27,True,0.702632666,10.7760897,0.0140059758,183,72,80,90
16,S0,False,0.309289157,7.92766857,0.000994240399,71,97,93,78
16,S1,True,0.202300668,10.5086756,0.00139854662,89,97,98,78
16,S2,False,0.992466807,8.7970314,0.00166256865,63,98,74,30
16,S3,True,0.218258902,11.6454983,0.00274756341,106,98,97,84
16,S4,True,0.185918763,11.767993,0.00309679005,111,98,98,90
16,S5,True,0.215318814,12.6653595,0.0028977457,122,99,97,90
16,S6,True,0.342107981,10.4325809,0.00233654818,101,98,92,78
16,S7,False,0.481589496,8.14210987,0.00474591926,126,97,87,30
16,S8,True,0.233355075,11.0364447,0.00368517218,128,97,96,84
16,S9,True,0.286093175,12.3033419,0.00461669452,179,97,94,78
16,S10,False,0.591202497,8.47857666,0.00650968309,137,96,83,60
16,S11,True,0.340386242,12.9032602,0.00706716767,201,94,92,96
16,S12,True,0.344969392,13.0882187,0.00899428967,206,93,92,90
16,S13,True,0.35032934,11.9996967,0.00809364114,200,94,91,90
16,S14,True,0.349439681,13.2890606,0.00932879094,208,92,91,90
16,S15,True,0.430877775,13.1760883,0.0148037262,207,89,88,90
16,S16,True,0.428892672,12.8904362,0.0169513188,206,90,88,96
16,S17,True,0.406907111,13.1745348,0.0158685762,206,88,89,102
16,S18,True,0.422619075,11.9043074,0.0159845855,195,86,89,90
16,S19,True,0.43460381,12.7741547,0.0166980922,198,85,88,102
16,S20,True,0.429597825,12.5508423,0.01449019,200,87,88,108
16,S21,True,0.447284043,10.3868484,0.0195123032,181,86,88,102
16,S22,True,0.432608545,13.095027,0.0149453003,204,87,88,108
16,S23,True,0.514725626,12.1421909,0.0176865645,199,84,85,96
16,S24,True,0.518519223,11.6379738,0.0260893293,174,84,85,96
16,S25,True,0.545753837,11.6249552,0.0206212346,187,81,84,108
16,S26,True,0.540122569,12.1249723,0.0178919733,200,84,85,102
16,S27,True,0.630604088,12.7815018,0.0226216447,192,83,82,102
16,S28,True,0.591977537,9.40833187,0.0210813209,167,79,83,96
16,S29,True,0.674078166,11.8333445,0.0247244108,180,77,81,108
16,S30,True,0.688683391,11.5321922,0.0206278395,190,73,80,114
16,S31,True,0.710809588,12.3980846,0.024699809,183,72,80,108
16,S32,True,0.74771589,11.9208136,0.0253964365,175,70,79,108
17,S0,True,0.24907802,12.0635815,0.00918675121,194,95,96,66
17,S1,True,0.203438058,9.79341221,0.00533348555,164,94,98,72
17,S2,True,0.288723618,9.30758667,0.00928444508,166,94,94,54
17,S3,True,0.297753215,11.9434204,0.00849062763,190,92,93,66
17,S4,True,0.290325791,10.7379103,0.0113211302,185,93,94,72
17,S5,True,0.322935939,11.4038858,0.0134294834,188,91,92,66
17,S6,True,0.311305553,11.2642679,0.00966021791,178,90,93,72
17,S7,True,0.283337653,11.6399002,0.0104870694,190,94,94,66
17,S8,True,0.34972766,9.32454395,0.0128998104,165,90,91,66
17,S9,True,0.352594137,10.8291912,0.0163902771,180,89,91,102
17,S10,True,0.367200434,10.6959095,0.0111303572,179,92,91,72
17,S11,False,0.367288291,8.43753147,0.00801150873,150,87,91,60
17,S12,True,0.400878251,12.3294601,0.0126436707,195,85,89,72
17,S13,True,0.422665179,11.5571318,0.0168544613,190,83,89,72
17,S14,True,0.43714425,11.0032568,0.0131474361,177,84,88,78
17,S15,True,0.426906735,12.1787815,0.0208646357,191,83,88,78
17,S16,True,0.515983582,9.60477924,0.0139862141,172,83,85,72
